,Tamb,Qirr,PelecA,PelecB
2022-11-12 05:45:00,23.1,0.75,431.87645083861725,69.13193484164667
2022-11-12 06:00:00,23.1,1.0,1515.4532760292684,36.3761270113049
2022-11-12 06:15:00,23.125,13.75,2297.3587390713224,36.362146740929774
2022-11-12 06:30:00,23.15,26.5,1812.8488487848629,34.68336688718976
2022-11-12 06:45:00,23.175,39.25,1913.573521867083,72.63034393398435
2022-11-12 07:00:00,23.2,52.0,1743.5043260913558,33.52447011981723
2022-11-12 07:15:00,23.4,91.75,1361.1351162054052,33.99575075956133
2022-11-12 07:30:00,23.6,131.5,877.3408254687005,229.42109948479302
2022-11-12 07:45:00,23.8,171.25,593.6056693620427,1494.4826793387751
2022-11-12 08:00:00,24.0,211.0,4174.500750346841,1202.5479661613156
2022-11-12 08:15:00,24.375,253.0,5349.472439395555,405.64066198470834
2022-11-12 08:30:00,24.75,295.0,4748.919835811479,2037.6111435920911
2022-11-12 08:45:00,25.125,337.0,4099.4866089831885,2487.9415903005406
2022-11-12 09:00:00,25.5,379.0,2821.844748855749,2019.0785176519105
2022-11-12 09:15:00,25.875,414.0,2463.215975556962,887.0831006195605
2022-11-12 09:30:00,26.25,449.0,2774.3483270920838,1080.2288910487323
2022-11-12 09:45:00,26.625,484.0,2331.442726435036,1759.29859458169
2022-11-12 10:00:00,27.0,519.0,318.6365914433262,1126.6397094112494
2022-11-12 10:15:00,27.125,542.75,565.1241620575139,591.9382969005793
2022-11-12 10:30:00,27.25,566.5,2373.54806827185,946.5162749555415
2022-11-12 10:45:00,27.375,590.25,1305.7181556781259,435.13096643464286
2022-11-12 11:00:00,27.5,614.0,911.2940306670188,431.0623102178933
2022-11-12 11:15:00,27.625,624.75,787.6640017865608,360.9431281481658
2022-11-12 11:30:00,27.75,635.5,2591.999618911211,1274.7885865153778
2022-11-12 11:45:00,27.875,646.25,3766.3587917655645,1511.4677892238983
2022-11-12 12:00:00,28.0,657.0,1588.5788188362317,3013.197641224111
2022-11-12 12:15:00,28.125,654.25,647.4263220942927,1563.345885362614
2022-11-12 12:30:00,28.25,651.5,610.209648395065,2465.7408061006554
